query_case,retrieved_case,similarity
0,5,0.8264101624467864
0,27,0.8259825378244929
0,28,0.8142369528507195
0,11,0.8111161961215274
0,13,0.8058832599311097
1,6,0.7963030124736876
1,27,0.7295688454180991
1,5,0.7211792096453901
1,12,0.7204596208759444
1,23,0.7089395364043637
2,5,0.8035408887610375
2,11,0.7967287826230779
2,28,0.7852575182706527
2,4,0.7844469885235278
2,3,0.7767387484976819
3,5,0.8354658716296839
3,28,0.831320422222206
3,4,0.8312787702269953
3,24,0.830839388389347
3,11,0.8273387956263641
4,5,0.8432758726164954
4,11,0.8402237524190944
4,27,0.8393460823631591
4,28,0.8393125975405793
4,3,0.8312787702269953
5,11,0.8547967408735512
5,28,0.8541433850681269
5,27,0.8463977895204325
5,4,0.8432758726164954
5,3,0.8354658716296839
6,1,0.7963030124736876
6,5,0.7713527229908633
6,4,0.7668915091417169
6,28,0.7618046307503707
6,11,0.7617145829888378
7,11,0.8154590609055428
7,13,0.8128786934090576
7,28,0.8065323466230143
7,4,0.8057422144254357
7,8,0.8031049741797874
8,13,0.9050517538696798
8,11,0.8390129079187841
8,5,0.8144400545001694
8,27,0.8090926005781947
8,4,0.8053307380944245
9,25,0.8061156450237319
9,15,0.7834215832727108
9,5,0.7455309121022401
9,3,0.7436478310028171
9,13,0.7412724633172001
10,27,0.7615482456148572
10,5,0.7438133900952751
10,11,0.7363344117096268
10,4,0.732933540863922
10,3,0.7283307711637167
11,13,0.8686752298255059
11,28,0.8632442633492395
11,5,0.8547967408735512
11,4,0.8402237524190944
11,8,0.8390129079187841
12,5,0.8353171663458918
12,27,0.8267733001002019
12,4,0.8240509191671531
12,11,0.8187453751066777
12,3,0.8153019449702077
13,8,0.9050517538696798
13,11,0.8686752298255059
13,5,0.835272988349522
13,27,0.8308805224495802
13,4,0.827832317056124
14,17,0.8455475177878873
14,24,0.8322592793995481
14,20,0.8111345699945857
14,26,0.8089135096448045
14,3,0.7845156704471372
15,25,0.7834575233107053
15,9,0.7834215832727108
15,5,0.7629651378472965
15,3,0.753063418116225
15,11,0.7505284711045374
16,5,0.834444762486774
16,3,0.8207369875302478
16,28,0.8125991867329073
16,4,0.81087204683786
16,26,0.8089768808036819
17,24,0.8550652272502102
17,20,0.851172021844533
17,14,0.8455475177878873
17,26,0.81626537382175
17,27,0.7758671293849961
18,7,0.6280663227879378
18,28,0.6205552669770744
18,4,0.5950867775448988
18,5,0.5949058969065536
18,16,0.5912079490561265
19,27,0.7501809812934066
19,5,0.7421155842282707
19,11,0.7330282508460118
19,12,0.7264664633621505
19,29,0.7230671665473088
20,24,0.8787180735413461
20,17,0.851172021844533
20,14,0.8111345699945857
20,26,0.8020660993134957
20,27,0.781423167465982
21,27,0.8089223597753318
21,11,0.7981439722174987
21,13,0.7948760416709361
21,5,0.7851625485913464
21,4,0.7801892669768614
22,25,0.44248147908781194
22,0,0.41981925639602097
22,9,0.4140830729279314
22,2,0.4045777417089958
22,8,0.403422433031102
23,5,0.8316494504073472
23,4,0.8206026205593103
23,28,0.8148385943004227
23,3,0.8133729238657464
23,27,0.8098361894129442
24,20,0.8787180735413461
24,17,0.8550652272502102
24,26,0.834653461281701
24,14,0.8322592793995481
24,5,0.8311074320252936
25,9,0.8061156450237319
25,15,0.7834575233107053
25,3,0.7484077027816765
25,28,0.7411124420919611
25,4,0.7399161821296235
26,24,0.834653461281701
26,17,0.81626537382175
26,5,0.8131648870082216
26,16,0.8089768808036819
26,14,0.8089135096448045
27,5,0.8463977895204325
27,4,0.8393460823631591
27,13,0.8308805224495802
27,11,0.8282877473641123
27,28,0.8272947772679439
28,11,0.8632442633492395
28,5,0.8541433850681269
28,4,0.8393125975405793
28,3,0.831320422222206
28,27,0.8272947772679439
29,5,0.7700971508052065
29,27,0.7633647797814406
29,28,0.7593085486852941
29,24,0.7584120344083561
29,11,0.7562976667432454
